,Title,Runtime,Stars,Year,Budget,Promo,Season,Rating,Genre,R1,R2,R3,Success
150,"""Deadly Resurgence""",119,3,2015,59.84782721128737,77.77953421943042,Fall,PG,Action,"""A lack of character depth diminishes the film's emotional resonance.""","""An uplifting film that resonates with its messages of hope and resilience.""","""A captivating journey that engages the audience's emotions.""",True
151,"""Redemption Protocol""",135,3,2016,50.55935919851367,70.98894222338329,Spring,PG,Action,"""An unconvincing portrayal of emotion hinders the overall impact.""","""A film that struggles to find its footing, resulting in a disjointed narrative.""","""A feel-good movie that strikes a perfect balance between humor and emotion.""",False
152,"""Warrior's Vow""",127,3,2019,92.90895079256107,99.81737649865595,Summer,R,Action,"""A celebration of creativity and imagination that appeals universally.""","""A forgettable cinematic effort with lackluster performances.""","""An immersive experience that captivates with its storytelling.""",True
153,"""Code of Honor: Dark Redemption""",126,2,2006,57.894399963919234,52.68718260583586,Fall,PG13,Action,"""A poorly executed movie with inconsistent pacing.""","""A cinematic gem that stands out for its authenticity and heart.""","""An uninspired film that fails to leave a lasting impression.""",False
154,"""Thunderbolt Fury""",130,5,2008,59.18385702916651,74.40513809122137,Fall,PG,Action,"""A tedious viewing experience with an uninteresting plot.""","""A lack of chemistry between characters diminishes the overall impact.""","""A compelling story that skillfully explores a range of themes.""",True
155,"""Final Strike""",148,3,2012,95.88856445168832,113.99067192186885,Fall,R,Action,"""A film that fails to capitalize on its potential, leaving audiences disappointed.""","""An inspiring narrative that offers both entertainment and depth.""","""An attempt at drama that falls flat due to weak character arcs.""",True
156,"""Reckoning Day: Vengeance Rising""",136,0,2019,82.46545476566006,74.0281442758104,Summer,R,Action,"""A confusing narrative that leaves viewers frustrated.""","""A delightful and charming tale that enchants viewers of all ages.""","""A thought-provoking film that sparks contemplation and joy.""",False
157,"""Hellfire Retribution""",118,1,2005,97.88168482523109,92.09620702950474,Winter,PG,Action,"""An underwhelming cinematic experience with little to offer.""","""An exhilarating adventure that seamlessly blends action and emotion.""","""A film that lacks originality and fails to offer a fresh perspective.""",False
158,"""Renegade Strike""",134,1,2022,245.9005779130559,234.8889367219513,Summer,PG13,Action,"""A slow and uneventful movie that struggles to hold attention.""","""An unremarkable film with a lack of memorable moments.""","""A disjointed plot that fails to create a cohesive narrative.""",False
159,"""Steel Reign""",132,1,2005,78.762127112557,108.93968940228814,Winter,PG,Action,"""A poorly scripted movie with unconvincing performances.""","""An underwhelming film with a lack of creativity.""","""A predictable storyline that fails to evoke genuine emotions.""",False
160,"""Apex Predator: The Final Stand""",139,3,2007,59.62632400194905,41.405796656345025,Summer,R,Action,"""A lack of character development hinders the overall impact.""","""An uninspiring and forgettable cinematic effort.""","""A heartwarming story that celebrates the triumph of the human spirit.""",False
161,"""Warrior's Edge""",127,3,2008,63.33756532629491,86.39749765631255,Summer,R,Action,"""A film with potential but marred by poor execution.""","""A visually stunning masterpiece that mesmerizes with its beauty.""","""An emotionally rich narrative that leaves a lasting impression.""",False
162,"""Rogue Protocol: Shadow Strike""",137,3,2022,51.796013260064115,46.1497740402913,Spring,R,Action,"""A confusing narrative that leaves audiences bewildered.""","""A tedious viewing experience with little substance.""","""An amateurish attempt at storytelling with lackluster performances.""",False
163,"""The Last Sentinel""",118,0,2020,104.47158625779002,153.8545571988406,Spring,R,Action,"""A film that fails to make a lasting impression on the audience.""","""A captivating cinematic journey that resonates on multiple levels.""","""A film that stands the test of time, enchanting new generations.""",False
164,"""Code Red: Thunderbolt Assault""",116,0,2019,70.87953681233176,101.71341463114972,Winter,PG,Action,"""A generic plot with clichéd elements, offering nothing new.""","""An overhyped movie that disappoints in execution.""","""A lackluster production that struggles to hold viewer interest.""",False
165,"""Zero Hour: Savage Fury""",123,2,2011,56.42836904165642,49.36885489671684,Winter,PG,Action,"""An immersive narrative that captures the imagination with its brilliance.""","""A celebration of the human spirit that uplifts and inspires.""","""A poorly executed film with weak dialogue and pacing issues.""",True
166,"""Black Ops: Warrior's Resolve""",137,1,2009,113.40704832186897,100.70549924787186,Winter,R,Action,"""An unconvincing attempt at storytelling with flat characters.""","""A cinematic triumph that masterfully balances drama, comedy, and emotion.""","""An emotionally resonant journey that tugs at the heartstrings.""",False
167,"""Ultimate Reckoning""",127,0,2008,28.304146108508235,20.289871774988608,Fall,R,Action,"""A predictable plot that fails to offer any surprises.""","""A timeless classic that leaves an indelible mark on cinematic history.""","""A visually striking experience that transports audiences to new realms.""",False
168,"""Deadly Bloodlines""",114,5,2009,81.58148852273439,78.97491269635785,Winter,PG,Action,"""A slow-paced and tedious experience, lacking excitement.""","""A forgettable movie with underdeveloped characters.""","""A disjointed storyline that leaves viewers disconnected.""",True
169,"""Dark Horizon: Rapid Fire""",141,2,2021,92.79588923838075,71.95955153124342,Summer,PG,Action,"""An uninspired film lacking depth and originality.""","""A confusing narrative that fails to engage the audience.""","""An enchanting tale that sparks laughter, tears, and everything in between.""",False
170,"""Hellfire Titans""",122,0,2012,84.53817920407566,125.81440150491751,Summer,R,Action,"""A celebration of resilience and courage that resonates universally.""","""A film that transcends time, remaining relevant and impactful.""","""An unsuccessful execution of a promising concept.""",True
171,"""Rogue Strike""",129,1,2021,49.27189502899133,48.53902953379886,Summer,PG13,Action,"""A film that lacks any semblance of originality.""","""An immersive narrative that captivates with its rich storytelling.""","""An unengaging and forgettable movie experience.""",False
172,"""Assault on Nemesis Island""",131,0,2014,38.28002288206885,48.83589384664484,Winter,R,Action,"""A lack of creativity in plot development.""","""An unsuccessful attempt at creating atmosphere.""","""A cinematic treasure that continues to shine with each viewing.""",False
173,"""Edge of Vendetta""",135,2,2015,122.72029215416939,181.3815166876825,Fall,R,Action,"""A movie that fails to provoke thought or reflection.""","""A heartwarming experience that leaves viewers with a sense of joy.""","""A lack of emotional resonance in the storyline.""",False
174,"""Mortal Thunder""",130,4,2010,100.46537967251885,92.04215716565145,Winter,PG,Action,"""An underwhelming portrayal of conflicts.""","""A film that lacks coherence in its narrative.""","""An unsuccessful attempt at evoking empathy.""",False
175,"""Warpath Chronicles""",133,1,2014,85.73796369558667,69.18081088072705,Fall,PG,Action,"""A testament to the art of storytelling, engaging minds and hearts alike.""","""A lack of investment in character arcs.""","""An unconvincing attempt at capturing authenticity.""",True
176,"""Reign of Vipers""",112,3,2018,172.96993245560427,88.76852713512687,Summer,PG,Action,"""A movie that feels disjointed and erratic.""","""An underwhelming climax that fails to deliver.""","""A film that seamlessly blends genres, appealing to a broad audience.""",True
177,"""Chaos Protocol""",139,0,2008,42.51738647898772,35.8020673761923,Spring,R,Action,"""A lack of cohesion between plot points.""","""An unsuccessful attempt at creating tension.""","""A captivating journey that takes viewers on an emotional rollercoaster.""",False
178,"""Shadow Ops: Edge of Fury""",127,1,2006,45.91550536035377,54.695977909053155,Spring,R,Action,"""A film that fails to create a memorable experience.""","""A lack of suspense or intrigue in the plot.""","""An uninteresting and unremarkable storyline.""",False
179,"""Beyond Chaos""",134,2,2013,60.778614378110575,59.76798868261994,Summer,R,Action,"""A movie that feels contrived and forced.""","""A lack of engagement due to poor character development.""","""An unsuccessful execution of an intriguing premise.""",False
180,"""Venomous Justice""",135,1,2002,120497473.526857,168.09889992270868,Summer,PG,Action,"""A film that lacks clarity in its message.""","""A lack of subtlety and nuance in storytelling.""","""An uplifting narrative that inspires hope and optimism.""",False
181,"""Rapid Warrior""",138,2,2021,48.7761654794797,26.197643265192735,Summer,PG13,Action,"""A celebration of diversity and inclusivity that leaves a positive mark.""","""An underwhelming performance from the ensemble cast.""","""A movie that feels disconnected and disjointed.""",True
182,"""Vengeance Protocol""",128,1,2006,129.6827948203544,155.47857379708967,Summer,PG13,Action,"""An unsuccessful attempt at evoking audience emotions.""","""A film that lacks any sense of purpose or direction.""","""A movie that fails to connect emotionally.""",False
183,"""Deadly Shockwave""",128,1,2011,104.04111970038548,105.42654153581601,Winter,PG,Action,"""An unconvincing portrayal of emotions and conflicts.""","""A lack of coherence in the script and storyline.""","""A film that struggles to hold attention throughout.""",False
184,"""Rogue Assault""",118,1,2005,71.41667936251372,87.5476562448588,Fall,R,Action,"""A lack of depth and complexity in the storyline.""","""A film that resonates on a deep emotional level, leaving a profound impact.""","""An unsuccessful attempt at capturing realism.""",False
185,"""Nuclear Fury""",130,1,2012,54.101380046088465,68.1642980844633,Fall,PG,Action,"""A movie that feels dated and out of touch.""","""An enchanting story that captures the essence of love and friendship.""","""A lack of authenticity in character motivations.""",False
186,"""Redemption Storm""",133,1,2012,120.18164187531883,134.4844912586448,Spring,PG13,Action,"""A film that fails to engage on an intellectual level.""","""A cinematic gem that stands out with its compelling characters and narrative.""","""An unimpressive display of storytelling.""",False
187,"""Warrior's Fury""",133,4,2006,121.43210386579179,68.98630334719684,Summer,PG,Action,"""A lack of originality in both plot and execution.""","""A movie that feels formulaic and cliché.""","""A film that fails to offer anything new or exciting.""",True
188,"""Code of Retribution""",142,1,2011,31.27014377249472,38.14591921472141,Spring,PG13,Action,"""An unconvincing portrayal of relationships.""","""A lack of chemistry between the main characters.""","""A visually stunning masterpiece that captivates with its aesthetics.""",False
189,"""Thunderbolt Resurgence""",136,1,2016,145.08697312422987,175.34019829350865,Summer,R,Action,"""A disjointed plot that lacks a clear direction.""","""A movie that feels aimless and meandering.""","""A heartwarming tale that celebrates the beauty of human connections.""",False
190,"""Final Alliance""",141,3,2015,66.08708406708092,33.276500747435485,Summer,PG13,Action,"""A lack of character development and growth.""","""An unsuccessful execution of an interesting concept.""","""An exhilarating ride that combines suspense, action, and heart.""",False
191,"""Reckoning Strike""",133,1,2014,55.88276436931483,42.74868895067885,Fall,PG13,Action,"""A movie that fails to leave a lasting impression.""","""A testament to the magic of cinema, leaving audiences spellbound.""","""A feel-good story that brings warmth and smiles to every viewer.""",False
192,"""Hellfire Vengeance""",130,0,2018,81.59151636391005,74.12714697152651,Spring,PG,Action,"""A lack of tension or conflict in the storyline.""","""A film that feels disjointed and disconnected.""","""An underwhelming conclusion that feels unsatisfying.""",False
193,"""Renegade Justice: Beyond the Line""",124,4,2015,75.13589914324383,109.25662780794077,Winter,PG,Action,"""A movie that fails to evoke any emotional response.""","""A visually breathtaking spectacle that immerses viewers in its world.""","""A lack of engagement due to poor pacing.""",True
194,"""Apex Venom""",133,0,2010,67.31993808622215,71.90432671002318,Spring,R,Action,"""An unsuccessful attempt at capturing audience emotions.""","""A film that lacks a cohesive storyline.""","""A lack of emotional depth in character arcs.""",False
195,"""Warrior's Resurgence""",131,3,2017,74.38072652315262,99.30219121602966,Summer,R,Action,"""A movie that feels derivative and unoriginal.""","""A timeless classic that continues to enchant audiences of all ages.""","""An emotionally resonant movie that speaks to the universal human experience.""",False
196,"""Rogue Code: Death's Gambit""",130,1,2010,111.33451002945307,80.5550787833163,Winter,R,Action,"""An uninspired performance from the lead actors.""","""A lack of coherence in the script.""","""A film that struggles to maintain audience interest.""",False
197,"""Mortal Ops""",139,3,2020,127.47369585190903,183.02102355622335,Summer,PG,Action,"""An unconvincing attempt at suspense or drama.""","""A movie that lacks a clear sense of direction.""","""A lack of innovation in cinematography and direction.""",True
198,"""Rapid Reign""",121,4,2002,42.27884704826132,57.764524002750626,Fall,PG,Action,"""An underdeveloped plot that feels rushed.""","""A movie that fails to create a compelling atmosphere.""","""A predictable storyline that offers no surprises.""",True
199,"""Shadowstrike Protocol""",133,1,2017,124.13578934580389,123.6761663367997,Fall,PG,Action,"""A movie that feels superficial and shallow.""","""A lack of creativity in storytelling.""","""A cinematic triumph that transcends boundaries with its brilliance.""",False
200,"""Edge of Thunderbolt""",131,3,2002,139.4802156344752,208.11437329349968,Summer,PG,Action,"""An unsuccessful adaptation that misses the mark.""","""A beautifully crafted narrative that unfolds with grace and depth.""","""A testament to the power of storytelling, leaving a positive impact.""",True
201,"""Deadly Redemption""",131,3,2021,74.23286697048421,64.81823062600947,Summer,R,Action,"""An uplifting film that strikes the right chords of inspiration and joy.""","""A compelling journey that engages both the mind and emotions.""","""A film that fails to resonate due to weak execution.""",True
202,"""Warpath Resurgence""",130,1,2020,96.77110587659668,103.91565262496682,Summer,PG13,Action,"""A disjointed narrative that lacks coherence.""","""A movie that struggles with pacing issues.""","""An unconvincing portrayal of emotions and conflicts.""",False
203,"""Vengeance Fury""",129,1,2023,54.52739292730811,35.69883295184077,Summer,PG13,Action,"""A lack of chemistry among the cast members.""","""A movie that feels rushed and poorly thought out.""","""A feel-good movie with a perfect balance of humor, heart, and depth.""",False
204,"""Rogue Thunder""",130,3,2019,85.62442583829775,127.37322329161351,Fall,PG,Action,"""A poorly executed concept that lacks originality.""","""An unsuccessful attempt at capturing audience attention.""","""A lack of character development and depth.""",False
205,"""Nuclear Vengeance""",139,0,2002,74.25004004679575,89.36385133007572,Summer,PG13,Action,"""A messy plotline that fails to deliver a clear message.""","""A film that falls short of expectations.""","""A movie that fails to leave a lasting impact.""",False
206,"""Redemption Strike""",121,0,2002,39.81405941393003,54.583567044500704,Summer,PG,Action,"""An underwhelming performance from the cast.""","""A celebration of creativity and storytelling that resonates with all audiences.""","""A lack of coherence in the storyline.""",False
207,"""Warrior's Nemesis""",123,0,2010,84.60657330591337,44.248454612454175,Fall,PG,Action,"""A movie that fails to engage emotionally or intellectually.""","""A disappointing attempt at storytelling.""","""An immersive experience that effortlessly captures the imagination.""",False
208,"""Thunderbolt Protocol""",128,0,2010,63.98049121500783,49.38767706142225,Summer,PG13,Action,"""An unremarkable script with wooden performances.""","""A forgettable movie with nothing remarkable to offer.""","""A thought-provoking exploration of life's complexities and beauty.""",False
209,"""Rogue Retribution""",131,1,2003,60.57848039998672,83.49315000763177,Winter,R,Action,"""A movie that struggles to find its footing from start to finish.""","""A poorly executed film that lacks direction.""","""An inspiring tale that sparks joy and contemplation in equal measure.""",False
210,"""The Revenge of the Indomitable Shadow Warrior: Chronicles of the Legendary Ninja from the Distant Mountains of Eternal Fury""",112,1,2007,112.46514028194916,88.65816813776166,Summer,PG13,Action,"""A lack of depth in both plot and characters.""","""An unconvincing storyline with weak character development.""","""A movie that feels forced and contrived.""",False
211,"""Thunderous Apocalypse: The Final Standoff of the Superheroic Avenger and the Monstrously Malevolent Villain in the City of Perpetual Chaos and Carnage""",113,0,2021,154.93722751643622,130.83549640225277,Summer,R,Action,"""A sluggish pace that makes the film drag on.""","""A movie that falls flat, failing to deliver its promise.""","""A delightful cinematic gem that appeals to a broad spectrum of viewers.""",False
212,"""The Incredible Quest of the Invincible Commando: Pursuit Across the Galaxy to Retrieve the Enigmatic Cosmic Relic and Save the Interstellar Federation from Doom""",143,0,2022,97.08014847912487,123.81085718284572,Spring,PG,Action,"""A disjointed plotline that fails to connect the dots.""","""A captivating narrative that skillfully explores a range of themes.""","""An overstretched and tedious cinematic experience.""",False
213,"""Battleship Armageddon: Clash of the Cybernetic Megabots and the Invincible Alien Armada Threatening the Fate of Humanity in the Galactic War of Infinite Dimensions""",125,0,2019,72.89598328255413,86.47869683036616,Spring,R,Action,"""A lackluster performance with a forgettable storyline.""","""An uninspired movie lacking in originality.""","""A film that celebrates the human spirit, leaving audiences uplifted.""",False
214,"""The Daring Adventures of Captain Ultra-Force: Champion of Justice, Guardian of the Universe, and Savior of the Multiverse from the Sinister Forces of Unimaginable Evil""",140,4,2010,67.39476888423985,97.23758616841454,Spring,PG,Action,"""A confusing narrative that leaves viewers puzzled.""","""An unengaging plot that fails to capture interest.""","""A disjointed and fragmented narrative that fails to connect narrative threads, leaving audiences with an incomplete and unsatisfactory portrayal.""",False
215,"""The Legendary Crusade of the Titanically Mighty Super-Agent: Top Secret Missions, Explosive Confrontations, and Unstoppable Heroic Exploits Across Continents and Time""",130,3,2020,98.65209349901482,112.88104946721953,Summer,PG,Action,"""A plodding and uninspired attempt at dramatic storytelling that lacks any substantive emotional depth or meaningful character development.""","""An exhilarating adventure with a perfect blend of action and emotion.""","""A heartwarming journey that resonates universally with its charm.""",False
216,"""Rampage of the Mega-Dragon: Epic Confrontation of the Mythical Beast and the Elite Special Forces Team in the Forbidden Jungle of Perilous Secrets and Treacherous Tribulations""",115,0,2020,74.7395758565854,111.6140175399552,Summer,PG,Action,"""A disappointingly formulaic and derivative portrayal that fails to surprise or engage its audience, adhering rigidly to tired and predictable story arcs.""","""A frustratingly unoriginal and uninspired attempt at narrative innovation that fails to offer any fresh perspectives or compelling storytelling devices.""","""An excruciatingly tedious and meandering portrayal that lacks any semblance of narrative coherence or engaging storytelling, wandering aimlessly without purpose.""",False
217,"""The Colossal Clash of the Cybernetic Cyborgs: Apocalyptic Showdown for Domination in the Post-Apocalyptic Wastelands of Desolation and Eternal Conflict""",129,1,2003,24.24179541008064,16.666033914746684,Summer,R,Action,"""A disjointed and confusing narrative that struggles to establish coherence, leaving audiences grappling with an incoherent and unsatisfying storyline.""","""A plodding and meandering cinematic journey that lacks any narrative direction or compelling storytelling, muddling through scenes without purpose.""","""A visually stunning experience that leaves a lasting impression.""",False
218,"""The Incredible Adventures of the Invulnerable Super-Soldier: A Saga of Heroism, Explosions, and Implausible Feats Across Planets, Galaxies, and Alternate Realities""",132,1,2012,98.52765404307263,72.37842177133228,Fall,PG13,Action,"""An infuriatingly shallow and superficial attempt at character development that lacks any depth or complexity, reducing characters to mere caricatures.""","""A frustratingly uninspired and unoriginal attempt at storytelling that fails to capture any semblance of emotional resonance or genuine engagement.""","""An enchanting tale that weaves emotion and excitement seamlessly.""",False
219,"""Operation Omega: The Impossible Mission of the Fearless Commando Squad to Retrieve the Ultra-Potent Cosmic Crystal and Prevent Universal Catastrophe at Any Cost""",0,0,2015,47.19737020046572,62.33608072252,Fall,PG,Action,"""An excruciatingly pretentious and self-indulgent attempt at thematic depth that falls flat, failing to deliver any meaningful or resonant insights.""","""A disjointed and haphazardly structured narrative that struggles to piece together a coherent storyline, leaving audiences bewildered and disconnected.""","""A cinematic gem that transcends genres, leaving a lasting impact.""",False
220,"""The Sorcerer's Legacy""",137,2,2000,52.74912275766188,41.983756287200244,Winter,R,Fantasy,"""A plodding and tedious portrayal that lacks any narrative momentum or sense of urgency, stagnating in a sea of uneventful and uninspired scenes.""","""A disappointingly shallow and underwhelming attempt at dramatic storytelling that lacks any substantive emotional depth or compelling character arcs.""","""A timeless classic that continues to evoke emotion and admiration.""",False
221,"""Chronicles of the Enchanted Realm""",125,2,2003,68.90665725431033,57.71292161158306,Summer,PG13,Fantasy,"""A frustratingly contrived and formulaic narrative that fails to surprise or engage its audience, adhering strictly to tired and predictable conventions.""","""A visually stunning masterpiece that captivates with its artistry.""","""An excruciatingly derivative and unoriginal attempt at thematic exploration that fails to offer any substantive insights or innovative storytelling.""",False
222,"""The Quest for the Celestial Amulet""",139,1,2015,83.94096206501969,84.5401376322534,Summer,PG13,Fantasy,"""A disjointed and incoherent portrayal that struggles to establish narrative coherence, leaving audiences confused amidst a barrage of disconnected sequences.""","""A plodding and uneventful cinematic journey that lacks any narrative tension or compelling storytelling, dragging its feet through scenes without purpose.""","""An enchanting story that resonates with its relatable and authentic characters.""",False
223,"""Mystic Realms: Beyond the Veil""",122,1,2020,91.24487939642512,96.23942165285803,Fall,R,Fantasy,"""A disappointingly superficial and underdeveloped attempt at character arcs that fails to elicit any empathy or investment from its audience.""","""A frustratingly contrived and formulaic narrative that fails to offer any surprises or engaging storytelling, relying on tired and predictable tropes.""","""A film that stands the test of time, enchanting new generations.""",False
224,"""Eternal Guardians of the Crystal Kingdom""",129,1,2022,92.96279450959013,55.20931568167195,Spring,PG,Fantasy,"""An excruciatingly derivative and unoriginal attempt at thematic exploration that lacks any substantive insights or innovative narrative techniques.""","""A disjointed and fragmented narrative that fails to connect narrative threads, leaving audiences with an incomplete and unsatisfactory portrayal.""","""An immersive narrative that captures the imagination with its brilliance.""",False
225,"""The Dragon's Prophecy""",142,1,2001,122.88405028277542,155.5984935105567,Fall,R,Fantasy,"""A celebration of the human spirit that uplifts and inspires.""","""A cinematic triumph that masterfully balances drama, comedy, and emotion.""","""A plodding and uninspired attempt at dramatic storytelling that lacks any substantive emotional depth or meaningful character development.""",True
226,"""Realm of Enchantment: The Forgotten Citadel""",140,2,2000,44.06374351883895,27.87789741974946,Winter,PG,Fantasy,"""A disappointingly formulaic and derivative portrayal that fails to surprise or engage its audience, adhering rigidly to tired and predictable story arcs.""","""A frustratingly unoriginal and uninspired attempt at narrative innovation that fails to offer any fresh perspectives or compelling storytelling devices.""","""An excruciatingly tedious and meandering portrayal that lacks any semblance of narrative coherence or engaging storytelling, wandering aimlessly without purpose.""",False
227,"""Legends of the Mystic Forest""",121,1,2008,62592557.12595174,90.35162490967973,Winter,PG13,Fantasy,"""A disjointed and confusing narrative that struggles to establish coherence, leaving audiences grappling with an incoherent and unsatisfying storyline.""","""An emotionally resonant journey that tugs at the heartstrings.""","""A plodding and meandering cinematic journey that lacks any narrative direction or compelling storytelling, muddling through scenes without purpose.""",False
228,"""Tales of the Ethereal Plains""",128,3,2019,94.34998757748355,52.548469216003674,Fall,R,Fantasy,"""An infuriatingly shallow and superficial attempt at character development that lacks any depth or complexity, reducing characters to mere caricatures.""","""A frustratingly uninspired and unoriginal attempt at storytelling that fails to capture any semblance of emotional resonance or genuine engagement.""","""An excruciatingly pretentious and self-indulgent attempt at thematic depth that falls flat, failing to deliver any meaningful or resonant insights.""",False
229,"""The Phoenix's Ascension""",131,2,2007,23.53257208659202,26.5669452439984,Summer,R,Fantasy,"""A timeless classic that leaves an indelible mark on cinematic history.""","""A disjointed and haphazardly structured narrative that struggles to piece together a coherent storyline, leaving audiences bewildered and disconnected.""","""A plodding and tedious portrayal that lacks any narrative momentum or sense of urgency, stagnating in a sea of uneventful and uninspired scenes.""",True
230,"""Sorcery and Serenity""",120,0,2006,235.97250840820635,268.18538622516894,Summer,PG,Fantasy,"""A disappointingly shallow and underwhelming attempt at dramatic storytelling that lacks any substantive emotional depth or compelling character arcs.""","""A frustratingly contrived and formulaic narrative that fails to surprise or engage its audience, adhering strictly to tired and predictable conventions.""","""An excruciatingly derivative and unoriginal attempt at thematic exploration that fails to offer any substantive insights or innovative storytelling.""",False
231,"""The Elven Chronicles""",130,1,2002,44.94946190695136,32.37629711385037,Fall,PG,Fantasy,"""A disjointed and incoherent portrayal that fails to establish narrative coherence, leaving audiences confused amidst a barrage of disconnected sequences.""","""A visually striking experience that transports audiences to new realms.""","""An enchanting tale that sparks laughter, tears, and everything in between.""",False
232,"""Kingdoms of Arcane Magic""",133,1,2004,25.81983947981415,29.079236861786253,Fall,PG13,Fantasy,"""A plodding and uneventful cinematic journey that lacks any narrative tension or compelling storytelling, dragging its feet through scenes without purpose.""","""A celebration of resilience and courage that resonates universally.""","""A disappointingly superficial and underdeveloped attempt at character arcs that fails to elicit any empathy or investment from its audience.""",False
233,"""The Crystal Guardians""",130,0,2014,45.443586393374574,58.811008195750226,Winter,PG,Fantasy,"""An infuriatingly inconsistent and tonally disjointed narrative that struggles to establish a cohesive voice, resulting in jarring and off-putting shifts.""","""A frustratingly uninspired and unoriginal attempt at storytelling that fails to evoke any emotional resonance or genuine investment from its audience.""","""An excruciatingly tedious and meandering portrayal that lacks any semblance of coherence or engaging storytelling, meandering aimlessly without purpose.""",False
234,"""Fabled Realms: Echoes of Ancients""",113,0,2014,92.06620938028824,98.29868015231041,Winter,PG13,Fantasy,"""A disjointed and fragmented narrative that fails to connect narrative threads, leaving audiences grappling with an incomplete and unsatisfying storyline.""","""A plodding and tiresome portrayal that lacks narrative momentum or any sense of urgency, slogging through scenes with a severe lack of propulsion.""","""A disappointingly trite and superficial attempt at thematic depth that struggles to offer any substantive exploration or meaningful introspection.""",False
235,"""Enchanted Destiny""",126,1,2013,100.32231632575147,64.06725737332263,Winter,R,Fantasy,"""An infuriatingly predictable and formulaic narrative that fails to surprise or engage its audience, telegraphing every narrative beat with precision.""","""A meandering and inconsequential portrayal that fails to establish any sense of purpose or narrative urgency, drifting aimlessly from one scene to another.""","""A contrived and derivative attempt at storytelling that lacks any semblance of originality or engaging plot twists, adhering strictly to tired conventions.""",False
236,"""The Feywild Chronicles""",0,0,2019,78.84246052980943,85.62672138568982,Spring,PG13,Fantasy,"""A film that transcends time, remaining relevant and impactful.""","""An immersive narrative that captivates with its rich storytelling.""","""A cinematic treasure that continues to shine with each viewing.""",True
237,"""The Lost Crown of Eldoria""",129,3,2022,121.34780244933023,121.54250212636681,Summer,R,Fantasy,"""An excruciatingly dull and uneventful cinematic ordeal that lacks any semblance of narrative tension or emotional resonance, falling flat on all fronts.""","""A disjointed and frustratingly confusing narrative that struggles to piece together a coherent storyline, leaving audiences grappling with incomprehension.""","""An infuriatingly superficial and trite attempt at character development that fails to evoke any empathy or investment from its audience.""",False
238,"""Wizards' Dominion: Spellbound Legacy""",126,4,2011,125.78724908249214,80.12789920354967,Summer,PG,Fantasy,"""A heartwarming experience that leaves viewers with a sense of joy.""","""A testament to the art of storytelling, engaging minds and hearts alike.""","""A plodding and meandering portrayal that lacks narrative momentum or a sense of direction, stumbling through scenes without purpose or impact.""",True
239,"""Adventures in the Astral Nexus""",142,3,2004,72.61606417992371,103.7316221059561,Spring,PG,Fantasy,"""A disappointingly contrived and poorly scripted attempt at drama that fails to offer any substantive emotional depth or compelling storytelling.""","""A film that seamlessly blends genres, appealing to a broad audience.""","""A captivating journey that takes viewers on an emotional rollercoaster.""",False
240,"""Galactic Nexus: Beyond the Event Horizon""",124,3,2008,103.10835865919272,54.74611004060664,Winter,R,Science fiction,"""An excruciatingly pretentious and self-important attempt at thematic exploration that falls short of delivering any meaningful insights or revelations.""","""An uplifting narrative that inspires hope and optimism.""","""A disjointed and clumsily structured narrative that falters in its attempts at coherence, leaving audiences adrift amidst a sea of disconnected scenes.""",False
241,"""Cybernetic Uprising: Rise of the Machines""",135,1,2002,45.91969871532232,45.20257131480658,Spring,PG,Science fiction,"""An agonizingly long and aimless cinematic experience that lacks any semblance of narrative direction or engaging storytelling.""","""A celebration of diversity and inclusivity that leaves a positive mark.""","""A dreadfully uninspired and soulless portrayal that fails to capture any semblance of genuine human emotion or authentic storytelling.""",False
242,"""Stellar Ascendance: The Interstellar Frontier""",134,1,2021,65.28215762280995,60.59777420596514,Summer,PG,Science fiction,"""A disappointingly formulaic and derivative narrative that offers little in terms of originality or innovative storytelling, following familiar beats without deviation.""","""An infuriatingly hollow and superficial attempt at character development that fails to create any depth or emotional resonance with its audience.""","""A disjointed and incongruous portrayal that fails to weave together coherent narrative threads, leaving audiences grasping at straws for cohesion.""",False
243,"""Quantum Paradox: Echoes of Tomorrow""",116,0,2016,52.04799232391777,60.04313300247614,Summer,PG,Science fiction,"""A film that resonates on a deep emotional level, leaving a profound impact.""","""An excruciatingly tedious and plodding narrative that lacks any sense of urgency or narrative propulsion, stagnating in its own lack of momentum.""","""A dreadfully contrived and uninspired attempt at storytelling that struggles to create any semblance of intrigue or emotional investment.""",True
244,"""Nebula's Edge: Chronicles of Cosmic Exploration""",123,1,2009,66.43121164604791,79.29772331818916,Summer,R,Science fiction,"""A disjointed and tonally inconsistent narrative that fails to find a cohesive voice, oscillating between disparate tones with jarring transitions.""","""An unbearably slow-paced and agonizingly uneventful cinematic journey that lacks any sense of narrative propulsion or compelling storytelling.""","""A frustratingly simplistic and one-dimensional portrayal that fails to offer any depth or nuance, oversimplifying complex themes to a fault.""",False
245,"""Aeon Prime: Dawn of Tomorrow""",133,0,2002,63.05894535632861,66.3241209665624,Summer,R,Science fiction,"""A convoluted and haphazardly assembled narrative that fails to connect the dots, leaving audiences stranded amidst a maze of disjointed sequences.""","""An enchanting story that captures the essence of love and friendship.""","""A meandering and tedious portrayal that fails to establish genuine stakes or emotional investment, plodding along with a severe lack of momentum.""",False
